joke_id,joke,Processed_joke,cluster,sorted_topics,main_topic
72," On the first day of college, the Dean addressed the students, pointing out some of the rules:  ""The female dormitory will be out-of-bounds for all male students and the male dormitory to the female students. Anybody caught breaking this rule will be finded $20 the first time."" He continued, ""Anybody  caught breaking this rule the second time will be fined $60. Being caught a third time will cost you a fine of $180. Are there any questions ?""   At this point, a male student in the crowd inquired:  ""How much for a season pass ?""  ",day college dean addressed student pointing rule dormitory student student anybody caught breaking rule finded time continued anybody caught breaking rule time fined time cost question point male student crowd inquired season pas,"[(0, 0.00095584034), (1, 0.0009897596), (2, 0.0012426323), (3, 0.0011408633), (4, 0.00075002905), (5, 0.0007556623), (6, 0.9910166), (7, 0.0011599495), (8, 0.00085856015), (9, 0.0011300138)]","[(6, 0.9910166), (2, 0.0012426323), (7, 0.0011599495), (3, 0.0011408633), (9, 0.0011300138), (1, 0.0009897596), (0, 0.00095584034), (8, 0.00085856015), (5, 0.0007556623), (4, 0.00075002905)]",6
73," Q: What is the difference between George  Washington, Richard Nixon, and Bill Clinton?   A: Washington couldn't tell a lie, Nixon couldn't   tell the truth, and Clinton doesn't know the  difference . ",difference george richard nixon bill clinton washington couldn tell couldn tell clinton doesn know difference,"[(0, 0.00207737), (1, 0.002151088), (2, 0.98048425), (3, 0.0024794883), (4, 0.0016300712), (5, 0.0016423141), (6, 0.0026925898), (7, 0.0025209691), (8, 0.0018659466), (9, 0.0024559088)]","[(2, 0.98048425), (6, 0.0026925898), (7, 0.0025209691), (3, 0.0024794883), (9, 0.0024559088), (1, 0.002151088), (0, 0.00207737), (8, 0.0018659466), (5, 0.0016423141), (4, 0.0016300712)]",2
74," Q: How many stalkers does it take to change a light bulb?   A:  Two . One to replace the bulb, and the other to watch it day and night. ",stalker take change bulb replace watch day night,"[(0, 0.0038208833), (1, 0.0039564725), (2, 0.0049673077), (3, 0.0045604953), (4, 0.0029981718), (5, 0.00302069), (6, 0.0049524507), (7, 0.9637743), (8, 0.0034320147), (9, 0.004517126)]","[(7, 0.9637743), (2, 0.0049673077), (6, 0.0049524507), (3, 0.0045604953), (9, 0.004517126), (1, 0.0039564725), (0, 0.0038208833), (8, 0.0034320147), (5, 0.00302069), (4, 0.0029981718)]",7
75, Q: Do you know the difference between an intelligent male and the Sasquatch?   A:  There have been actual reported sightings of the Sasquatch . ,know difference sasquatch reported sasquatch,"[(0, 0.005966831), (1, 0.006178572), (2, 0.0077571287), (3, 0.007121836), (4, 0.9408698), (5, 0.0047172196), (6, 0.0077339276), (7, 0.0072409813), (8, 0.00535956), (9, 0.0070541087)]","[(4, 0.9408698), (2, 0.0077571287), (6, 0.0077339276), (7, 0.0072409813), (3, 0.007121836), (9, 0.0070541087), (1, 0.006178572), (0, 0.005966831), (8, 0.00535956), (5, 0.0047172196)]",4
76," There once was a man and a woman that both  got in  a terrible car wreck. Both of their vehicles   were completely destroyed, buy fortunately, no one  was   hurt.  In thankfulness, the woman said to the  man, 'We are both okay, so we should celebrate. I have   a  bottle of wine in my car, let's open it.'          So the woman got the bottleout of the car, and  handed it to the man. The man took a really big drink,  and handed the woman the bottle. The  woman  closed the bottle and put it down. The man  asked,   'Aren't you going to take a drink?'    The woman cleverly replied,   'No, I think I'll  just  wait for the cops to get here.'  ",man woman got car wreck vehicle destroyed buy hurt thankfulness woman said man okay celebrate bottle wine car let woman got car handed man man took drink handed woman bottle woman closed bottle put man asked going take drink woman replied think wait cop get,"[(0, 0.00070285896), (1, 0.0007278008), (2, 0.00091374596), (3, 0.99332225), (4, 0.00055151957), (5, 0.00055566186), (6, 0.000911013), (7, 0.00085294666), (8, 0.0006313258), (9, 0.00083093415)]","[(3, 0.99332225), (2, 0.00091374596), (6, 0.000911013), (7, 0.00085294666), (9, 0.00083093415), (1, 0.0007278008), (0, 0.00070285896), (8, 0.0006313258), (5, 0.00055566186), (4, 0.00055151957)]",3
77, If pro- is the opposite of con- then congress must be the  opposite  of progress. ,con congress must opposite progress,"[(0, 0.005966898), (1, 0.006178641), (2, 0.007757216), (3, 0.007121916), (4, 0.0046821074), (5, 0.0047172727), (6, 0.0077340147), (7, 0.007241063), (8, 0.9415467), (9, 0.0070541883)]","[(8, 0.9415467), (2, 0.007757216), (6, 0.0077340147), (7, 0.007241063), (3, 0.007121916), (9, 0.0070541883), (1, 0.006178641), (0, 0.005966898), (5, 0.0047172727), (4, 0.0046821074)]",8
78, Q: What's the difference between the government  and  the Mafia?   A:  One of them is organized . ,difference government mafia organized,"[(0, 0.0073416214), (1, 0.007602148), (2, 0.009544414), (3, 0.008762745), (4, 0.0057608252), (5, 0.0058040926), (6, 0.009515867), (7, 0.008909343), (8, 0.006594431), (9, 0.9301645)]","[(9, 0.9301645), (2, 0.009544414), (6, 0.009515867), (7, 0.008909343), (3, 0.008762745), (1, 0.007602148), (0, 0.0073416214), (8, 0.006594431), (5, 0.0058040926), (4, 0.0057608252)]",9
79," Q: Ever wonder why the IRS calls it Form 1040?   A: Because for every $50 that you earn,  you get 10 and they get 40 . ",wonder irs call form earn get get,"[(0, 0.0043413006), (1, 0.004495357), (2, 0.0056438716), (3, 0.00518165), (4, 0.003406533), (5, 0.003432118), (6, 0.959199), (7, 0.0052683367), (8, 0.0038994667), (9, 0.005132374)]","[(6, 0.959199), (2, 0.0056438716), (7, 0.0052683367), (3, 0.00518165), (9, 0.005132374), (1, 0.004495357), (0, 0.0043413006), (8, 0.0038994667), (5, 0.003432118), (4, 0.003406533)]",6
80," Hillary, Bill Clinton and the Pope are sitting together on an airplane.  Bill says ""I could throw one thousand dollar bill out of this plane and make one person very happy.""  Hillary says ""I could throw 10 hundred dollar bills out of the plane and make 10 people very happy.""   The Pope chips in and says "" I could throw Bill out of the airplane and make the whole  country happy ."" ",bill clinton pope sitting bill say could throw dollar bill plane make person say could throw dollar bill plane make people pope chip say could throw bill make country,"[(0, 0.0010861142), (1, 0.0011246564), (2, 0.0014119938), (3, 0.0012963543), (4, 0.0008522524), (5, 0.0008586534), (6, 0.0014077706), (7, 0.0013180418), (8, 0.98936015), (9, 0.0012840263)]","[(8, 0.98936015), (2, 0.0014119938), (6, 0.0014077706), (7, 0.0013180418), (3, 0.0012963543), (9, 0.0012840263), (1, 0.0011246564), (0, 0.0010861142), (5, 0.0008586534), (4, 0.0008522524)]",8
81," An Asian man goes into a New York CityBank to exchange 10,000 yen for American Currency.  The teller gives him $72.00.  The next month the Asian man goes into the same bank with 10,000 yen and receives $62.00. He asks, ""How come? Only $62.00?"" The teller says ""Fluctuations- Fluctuations!""   Whereupon the Asian man looks back at the teller and says "" Fluk you Amelicans too !"" ",man go york citybank exchange yen currency teller month man go bank yen receives asks come teller say fluctuation fluctuation whereupon man look teller say fluk amelicans,"[(0, 0.0011656025), (1, 0.0012069654), (2, 0.0015153318), (3, 0.0013912292), (4, 0.00091462524), (5, 0.0009214947), (6, 0.0015107995), (7, 0.988949), (8, 0.0010469739), (9, 0.0013779989)]","[(7, 0.988949), (2, 0.0015153318), (6, 0.0015107995), (3, 0.0013912292), (9, 0.0013779989), (1, 0.0012069654), (0, 0.0011656025), (8, 0.0010469739), (5, 0.0009214947), (4, 0.00091462524)]",7
82," Q: How do you keep a computer programmer in the  shower all day long?   A: Give them a shampoo with a label that says  ""rinse, lather, repeat"" . ",keep computer programmer shower day shampoo label say rinse repeat,"[(0, 0.003081786), (1, 0.0031911472), (2, 0.00400645), (3, 0.00367833), (4, 0.0024182168), (5, 0.96947825), (6, 0.003994467), (7, 0.003739867), (8, 0.0027681387), (9, 0.00364335)]","[(5, 0.96947825), (2, 0.00400645), (6, 0.003994467), (7, 0.003739867), (3, 0.00367833), (9, 0.00364335), (1, 0.0031911472), (0, 0.003081786), (8, 0.0027681387), (4, 0.0024182168)]",5
83,"  What a woman says :   ""This place is a mess!  C'mon,  You and I need to clean up,  Your stuff is lying on the floor and  you'll have no clothes to wear,  if we don't do laundry right now!""     What a man hears :   blah, blah, blah, blah,  C'mon   blah, blah, blah, blah,  you and I   blah, blah, blah, blah,  on the floor   blah, blah, blah, blah,  no clothes   blah, blah, blah, blah,  RIGHT NOW!  ",woman say place mess mon need stuff lying floor ll clothes wear man hears blah blah blah mon blah blah blah blah blah blah blah blah floor blah blah blah blah clothes blah blah blah right,"[(0, 0.0008769216), (1, 0.0009080403), (2, 0.9917618), (3, 0.0010466682), (4, 0.0006881031), (5, 0.00069327117), (6, 0.0011366248), (7, 0.0010641784), (8, 0.0007876733), (9, 0.0010367145)]","[(2, 0.9917618), (6, 0.0011366248), (7, 0.0010641784), (3, 0.0010466682), (9, 0.0010367145), (1, 0.0009080403), (0, 0.0008769216), (8, 0.0007876733), (5, 0.00069327117), (4, 0.0006881031)]",2
84," Q: What is the difference between Mechanical Engineers and Civil  Engineers?    A: Mechanical Engineers build  weapons , Civil Engineers build  targets . ",difference engineer engineer engineer build engineer build target,"[(0, 0.0038207262), (1, 0.0039563095), (2, 0.9641064), (3, 0.0045603076), (4, 0.0029980484), (5, 0.0030205657), (6, 0.004952247), (7, 0.0046365997), (8, 0.0034318736), (9, 0.00451694)]","[(2, 0.9641064), (6, 0.004952247), (7, 0.0046365997), (3, 0.0045603076), (9, 0.00451694), (1, 0.0039563095), (0, 0.0038207262), (8, 0.0034318736), (5, 0.0030205657), (4, 0.0029980484)]",2
85, Q: How many Presidents does it take to screw in a light bulb?   A:  It depends upon your definition of screwing a light bulb . ,president take screw bulb depends definition screwing light bulb,"[(0, 0.0034116593), (1, 0.0035327263), (2, 0.004435299), (3, 0.004072057), (4, 0.0026770616), (5, 0.0026971682), (6, 0.004422033), (7, 0.004140181), (8, 0.9665785), (9, 0.0040333327)]","[(8, 0.9665785), (2, 0.004435299), (6, 0.004422033), (7, 0.004140181), (3, 0.004072057), (9, 0.0040333327), (1, 0.0035327263), (0, 0.0034116593), (5, 0.0026971682), (4, 0.0026770616)]",8
86," A neutron walks into a bar and orders a drink. ""How much do I owe you?"" the neutron asks.   The bartender replies,  ""for you, no charge.""  ",neutron walk bar order drink owe neutron asks reply charge,"[(0, 0.0030818165), (1, 0.0031911787), (2, 0.0040064896), (3, 0.9707199), (4, 0.0024182405), (5, 0.002436403), (6, 0.0039945063), (7, 0.003739904), (8, 0.002768166), (9, 0.0036433858)]","[(3, 0.9707199), (2, 0.0040064896), (6, 0.0039945063), (7, 0.003739904), (9, 0.0036433858), (1, 0.0031911787), (0, 0.0030818165), (8, 0.002768166), (5, 0.002436403), (4, 0.0024182405)]",3
87," A man, recently completing a routine physical examination receives a phone call from his doctor.  The doctor says, ""I have some good news and some bad news.""  The man says, ""OK, give me the good news first.""  The doctor says, ""The good news is, you have 24 hours to live.""  The man replies, ""Shit!  That's the good news?  Then what's the bad news?""   The doctor says, ""The bad news is, I forgot to call you  yesterday ."" ",man completing examination receives phone call doctor doctor say news news man say give news doctor say news hour man reply shit news news doctor say news forgot call yesterday,"[(0, 0.9898176), (1, 0.0010876001), (2, 0.0013654699), (3, 0.0012536407), (4, 0.0008241715), (5, 0.00083036156), (6, 0.0013613859), (7, 0.0012746137), (8, 0.0009434312), (9, 0.0012417189)]","[(0, 0.9898176), (2, 0.0013654699), (6, 0.0013613859), (7, 0.0012746137), (3, 0.0012536407), (9, 0.0012417189), (1, 0.0010876001), (8, 0.0009434312), (5, 0.00083036156), (4, 0.0008241715)]",0
88," A Czechoslovakian man felt his eyesight was growing steadily worse, and  felt it was time to go see an optometrist.    The doctor started with some simple testing, and showed him a standard eye  chart with letters of diminishing size: CRKBNWXSKZY. . .    ""Can you read this?"" the doctor asked.    ""Read it?"" the Czech answered.  ""Doc, I know him!""  ",man felt growing felt time go doctor started testing showed eye chart letter diminishing size crkbnwxskzy read doctor asked czech answered doc know,"[(0, 0.0013653686), (1, 0.0014138205), (2, 0.0017750361), (3, 0.0016296642), (4, 0.0010713779), (5, 0.0010794245), (6, 0.98716784), (7, 0.0016569279), (8, 0.0012264089), (9, 0.0016141665)]","[(6, 0.98716784), (2, 0.0017750361), (7, 0.0016569279), (3, 0.0016296642), (9, 0.0016141665), (1, 0.0014138205), (0, 0.0013653686), (8, 0.0012264089), (5, 0.0010794245), (4, 0.0010713779)]",6
89,"  A radio conversation of a US naval  ship with Canadian authorities ...     Americans: Please divert your course 15 degrees to the North to avoid a collision.   Canadians: Recommend you divert YOUR course 15 degrees to the South to  avoid a collision.   Americans: This is the Captain of a US Navy ship.  I say again, divert  YOUR course.   Canadians: No.  I say again, you divert YOUR course.   Americans: This is the aircraft carrier USS LINCOLN, the second largest ship in the United States' Atlantic Fleet. We are accompanied by three destroyers, three cruisers and numerous support vessels. I demand that you change your course 15 degrees north, that's ONE FIVE DEGREES NORTH, or counter-measures will be undertaken to ensure the safety of this ship.   Canadians:  This is a lighthouse.  Your call . ",radio conversation ship authority please course collision recommend divert course degree south collision captain ship say course say course aircraft carrier lincoln ship state fleet accompanied destroyer cruiser support demand change course north counter measure ensure safety ship lighthouse call,"[(0, 0.0007899872), (1, 0.00081802096), (2, 0.0010270163), (3, 0.0009429057), (4, 0.0006198874), (5, 0.0006245431), (6, 0.9925754), (7, 0.0009586802), (8, 0.0007095866), (9, 0.0009339389)]","[(6, 0.9925754), (2, 0.0010270163), (7, 0.0009586802), (3, 0.0009429057), (9, 0.0009339389), (1, 0.00081802096), (0, 0.0007899872), (8, 0.0007095866), (5, 0.0006245431), (4, 0.0006198874)]",6
90, Q: How many programmers does it take to change a lightbulb?   A:  NONE!   That's a hardware problem....  ,programmer take change lightbulb none hardware problem,"[(0, 0.0043413667), (1, 0.004495426), (2, 0.0056439578), (3, 0.0051817293), (4, 0.003406585), (5, 0.0034321705), (6, 0.005627077), (7, 0.9588397), (8, 0.0038995263), (9, 0.005132452)]","[(7, 0.9588397), (2, 0.0056439578), (6, 0.005627077), (3, 0.0051817293), (9, 0.005132452), (1, 0.004495426), (0, 0.0043413667), (8, 0.0038995263), (5, 0.0034321705), (4, 0.003406585)]",7
91," A Panda bear walks into a bar.  Sits down at a table and orders a beer  and a double cheeseburger.  After he is finished eating, he pulls out a gun and rips the place with gunfire.  Patrons scatter and dive under chairs and tables as the bear runs out the door.  After ensuring that no one is hurt,  the bartender races out the door, and calls after the bear ""What the hell did you do that for?""  The bear calls back, ""I'm a Panda bear.  Look it up in the dictionary.""     The bartender returns, pulls out his dictionary.   panda : \Pan""da\, n. (Zo[""o]l.)  A small Asiatic mammal (Ailurus fulgens) having fine soft fur. It is related to the bears, and inhabits the mountains of Northern India.  Eats shoots and leaves.  ",panda bear walk bar sits order beer cheeseburger finished eating pull gun place gunfire patron scatter chair run door ensuring hurt bartender race door call bear hell call panda look bartender return pull panda pan da zo ailurus fulgens fur related inhabits mountain india eats shoot leaf,"[(0, 0.9934739), (1, 0.000697064), (2, 0.00087515614), (3, 0.00080348266), (4, 0.00052822754), (5, 0.00053219486), (6, 0.0008725386), (7, 0.0008169246), (8, 0.00060466334), (9, 0.0007958417)]","[(0, 0.9934739), (2, 0.00087515614), (6, 0.0008725386), (7, 0.0008169246), (3, 0.00080348266), (9, 0.0007958417), (1, 0.000697064), (8, 0.00060466334), (5, 0.00053219486), (4, 0.00052822754)]",0
92," Early one morning a mother went to her sleeping son and woke him up.   ""Wake up, son.  It's time to go to school.""   ""But why, Mama?  I don't want to go to school.""   ""Give me two reasons why you don't want to go to school.""   ""One, all the children hate me. Two, all the teachers hate me,""   ""Oh! that's no reason. Come on, you have to go to school,""     ""Give me two good reasons WHY I should go to school?""     ""One, you are  fifty-two  years old. Two, you are the  principal  of the  school.""  ",morning mother went sleeping son woke wake son time go school mama want go school give reason want go school child hate teacher hate reason come go school reason go school fifty year school,"[(0, 0.0009279944), (1, 0.0009609255), (2, 0.0012064313), (3, 0.9911832), (4, 0.0007281789), (5, 0.00073364796), (6, 0.001202823), (7, 0.0011261572), (8, 0.0008335482), (9, 0.0010970938)]","[(3, 0.9911832), (2, 0.0012064313), (6, 0.001202823), (7, 0.0011261572), (9, 0.0010970938), (1, 0.0009609255), (0, 0.0009279944), (8, 0.0008335482), (5, 0.00073364796), (4, 0.0007281789)]",3
93," Reaching the end of a job interview, the human resources person asked a young engineer fresh out of Stanford,   ""And what starting salary were you looking for?""   The engineer said, ""In the neighborhood of $125,000 a year, depending on the benefits package.""   The interviewer said, ""Well, what would you say to a package of 5-weeks  vacation, 14 paid holidays, full medical and dental, company matching  retirement fund to 50% of salary, and a company car leased every 2 years -  say, a red Corvette?""   The Engineer sat up straight and said, ""Wow! Are you  kidding ?""   And the interviewer replied,  ""Yeah, but you started it.""  ",reaching end job interview resource person asked engineer stanford starting looking engineer said year depending package interviewer said would say package week vacation paid holiday company matching retirement fund company car leased year say corvette engineer sat said kidding interviewer replied yeah started,"[(0, 0.9928716), (1, 0.0007613933), (2, 0.0009559209), (3, 0.00087763293), (4, 0.0005769756), (5, 0.000581309), (6, 0.0009530618), (7, 0.0008923154), (8, 0.0006604654), (9, 0.0008692868)]","[(0, 0.9928716), (2, 0.0009559209), (6, 0.0009530618), (7, 0.0008923154), (3, 0.00087763293), (9, 0.0008692868), (1, 0.0007613933), (8, 0.0006604654), (5, 0.000581309), (4, 0.0005769756)]",0
94," Two atoms are walking down the street when one  atom says to the other  ""Oh, my! I've lost an electron!""   The second atom says""Are you sure""   The first replies  ""I'm positive!""  ",walking street atom say ve lost atom say reply,"[(0, 0.96692526), (1, 0.0035327722), (2, 0.0044353567), (3, 0.0040721097), (4, 0.0026770963), (5, 0.002697203), (6, 0.0044220905), (7, 0.0041402346), (8, 0.0030644787), (9, 0.004033385)]","[(0, 0.96692526), (2, 0.0044353567), (6, 0.0044220905), (7, 0.0041402346), (3, 0.0040721097), (9, 0.004033385), (1, 0.0035327722), (8, 0.0030644787), (5, 0.002697203), (4, 0.0026770963)]",0
95," Just a thought ..   Before criticizing someone, walk a mile in their shoes.     Then when you do criticize them,   you will be a mile away and have their shoes !  ",thought criticizing someone walk shoe criticize mile shoe,"[(0, 0.0038207213), (1, 0.003956305), (2, 0.0049670967), (3, 0.004560302), (4, 0.0029980447), (5, 0.003020562), (6, 0.0049522407), (7, 0.0046365936), (8, 0.9625712), (9, 0.0045169345)]","[(8, 0.9625712), (2, 0.0049670967), (6, 0.0049522407), (7, 0.0046365936), (3, 0.004560302), (9, 0.0045169345), (1, 0.003956305), (0, 0.0038207213), (5, 0.003020562), (4, 0.0029980447)]",8
96," Two attorneys went into a diner and ordered two drinks.  Then they produced  sandwiches from their briefcases and started to eat.  The owner became quite concerned and marched over and told them,  ""You can't eat your own sandwiches in here!""    The attorneys looked at each other, shrugged their shoulders and then  exchanged  sandwiches. ",attorney went ordered drink produced briefcase started owner became concerned marched eat attorney looked shoulder exchanged sandwich,"[(0, 0.0018378306), (1, 0.0019030485), (2, 0.9827346), (3, 0.0021935813), (4, 0.0014421095), (5, 0.0014529406), (6, 0.0023821103), (7, 0.002230279), (8, 0.0016507863), (9, 0.0021727206)]","[(2, 0.9827346), (6, 0.0023821103), (7, 0.002230279), (3, 0.0021935813), (9, 0.0021727206), (1, 0.0019030485), (0, 0.0018378306), (8, 0.0016507863), (5, 0.0014529406), (4, 0.0014421095)]",2
97," A teacher is explaining to her class how different languages use  negatives differently.  She says, ""In all languages, a positive followed by a negative or a negative followed by a positive makes a negative.  In some languages, two negatives together make a positive, while in others they make a negative.  But in no language do two positives make a negative.""     One of the students puts up his hand and says,  ""Yeah, right.""  ",explaining class language use say language followed followed make language make others make language make student put hand say,"[(0, 0.0016477294), (1, 0.0017062012), (2, 0.002142117), (3, 0.0019666818), (4, 0.0012929408), (5, 0.0013026516), (6, 0.0021357099), (7, 0.984378), (8, 0.0014800325), (9, 0.0019479791)]","[(7, 0.984378), (2, 0.002142117), (6, 0.0021357099), (3, 0.0019666818), (9, 0.0019479791), (1, 0.0017062012), (0, 0.0016477294), (8, 0.0014800325), (5, 0.0013026516), (4, 0.0012929408)]",7
98," Age and Womanhood   1. Between the ages of 13 and 18 ...  &nbsp;&nbsp;&nbsp;&nbsp; She is like Africa, virgin and unexplored.     2. Between the ages of 19 and 35 ...  &nbsp;&nbsp;&nbsp;&nbsp; She is like Asia, hot and exotic.     3. Between the ages of 36 and 45 ...  &nbsp;&nbsp;&nbsp;&nbsp; She is like America, fully explored, breathtakingly beautiful,and free with her resources.    4. Between the ages of 46 and 56 ...  &nbsp;&nbsp;&nbsp;&nbsp; She is like Europe, exhausted but still has points of interest.     5. After 56 she is like Australia ...  &nbsp;&nbsp;&nbsp;&nbsp; Everybody knows it's down there, but who gives a damn?  ",age womanhood age nbsp africa virgin unexplored age nbsp asia age nbsp america explored resource age nbsp europe exhausted point interest australia nbsp everybody know damn,"[(0, 0.0012098309), (1, 0.9883143), (2, 0.0015728306), (3, 0.0014440189), (4, 0.00094933045), (5, 0.00095646054), (6, 0.0015681263), (7, 0.0014681768), (8, 0.0010867009), (9, 0.0014302867)]","[(1, 0.9883143), (2, 0.0015728306), (6, 0.0015681263), (7, 0.0014681768), (3, 0.0014440189), (9, 0.0014302867), (0, 0.0012098309), (8, 0.0010867009), (5, 0.00095646054), (4, 0.00094933045)]",1
99, A bus station is where a bus stops.  A train station is where a train stops.   On  my  desk I have a  work station...  ,bus station bus stop train station train stop desk work station,"[(0, 0.0028099956), (1, 0.97285825), (2, 0.0036531112), (3, 0.003353929), (4, 0.002204948), (5, 0.0022215087), (6, 0.003642185), (7, 0.0034100388), (8, 0.0025240097), (9, 0.0033220337)]","[(1, 0.97285825), (2, 0.0036531112), (6, 0.003642185), (7, 0.0034100388), (3, 0.003353929), (9, 0.0033220337), (0, 0.0028099956), (8, 0.0025240097), (5, 0.0022215087), (4, 0.002204948)]",1
100, Q: Whats the difference between greeting a Queen and greeting the President of the United  States?   A: You only have to get on  one knee  to greet the queen. ,whats difference greeting greeting president united state get knee greet queen,"[(0, 0.0028100323), (1, 0.0029097502), (2, 0.0036531591), (3, 0.003353973), (4, 0.002204977), (5, 0.9721697), (6, 0.0036422329), (7, 0.0034100835), (8, 0.0025240427), (9, 0.0033220774)]","[(5, 0.9721697), (2, 0.0036531591), (6, 0.0036422329), (7, 0.0034100835), (3, 0.003353973), (9, 0.0033220774), (1, 0.0029097502), (0, 0.0028100323), (8, 0.0025240427), (4, 0.002204977)]",5
